# airbearing_log schema_version=1 units=SI
# example hardware-shaped log (synthetic mocap noise)
# same trajectory family as sim.csv + 1-step delay + Gaussian pose noise; not a floor recording
t,x,y,yaw,vx,vy,omega
0.0,-0.319897,0.003772,0.004477,-0.002655,0.031663,-0.000771
0.05,-0.315921,-0.003785,0.004335,-0.002533,0.015261,-0.004546
0.1,-0.316326,0.001701,0.001616,-0.003028,-0.032603,0.01507
0.15,-0.321331,0.004006,0.001393,0.015886,0.00092,-0.000857
0.2,-0.320394,-0.004499,-0.01202,0.028807,-0.005252,-0.010589
0.25,-0.320582,-0.000208,-0.001323,0.00808,0.015911,0.029119
0.3,-0.316391,-0.002728,-0.005981,0.027136,0.009965,0.019768
0.35,-0.317168,0.002632,0.001009,0.036227,0.039112,0.025395
0.4,-0.313359,0.007343,-0.00374,0.040067,0.031145,0.012153
0.45,-0.319342,0.010071,0.004948,0.050941,0.034802,-0.002194
0.5,-0.307,-3.4e-05,0.006553,0.04078,0.030536,-0.008382
0.55,-0.309489,0.005075,0.00247,0.061569,0.03198,-0.005587
0.6,-0.304259,0.010711,0.002529,0.084345,0.040658,0.018954
0.65,-0.30351,0.015238,0.000744,0.077145,0.05615,0.002238
0.7,-0.300637,0.013964,-0.003582,0.067577,0.050943,-0.029657
0.75,-0.294111,0.012762,-0.001316,0.089871,0.044114,-0.000782
0.8,-0.288726,0.018391,-0.003965,0.105324,0.067286,-0.028322
0.85,-0.287008,0.02015,0.003104,0.102225,0.057795,0.003317
0.9,-0.281758,0.022489,0.000113,0.098676,0.057901,-0.024076
0.95,-0.273743,0.023997,0.00465,0.131605,0.05251,-0.025279
1.0,-0.272511,0.030562,-0.010629,0.10575,0.058214,0.002372
1.05,-0.268243,0.033624,0.007102,0.134451,0.060192,-0.001564
1.1,-0.255815,0.035921,-0.006102,0.135882,0.036952,-0.033235
1.15,-0.252012,0.039135,-0.005874,0.129417,0.085114,0.014964
1.2,-0.248361,0.039645,-0.00158,0.166039,0.081973,0.043262
