# airbearing_log schema_version=1 units=SI
# closed-loop MPC simulation (fan_plus, point-to-point, seed=7, 4 s)
# shipped golden log for `airbearing compare` on a fresh clone
t,x,y,yaw,vx,vy,omega
0.0,-0.32,0.0,0.0,0.0,0.0,0.0
0.05,-0.32,0.0,0.0,0.001203,0.000783,0.0
0.1,-0.3198,0.0001,0.0,0.004039,0.002624,0.0
0.15,-0.3195,0.0003,0.0,0.0081,0.005249,0.0
0.2,-0.319,0.0007,0.0,0.01308,0.008444,0.0
0.25,-0.3181,0.0012,0.0,0.018749,0.012044,0.0
0.3,-0.317,0.0019,0.0,0.024935,0.01592,0.0
0.35,-0.3156,0.0028,0.0,0.031509,0.019971,0.0
0.4,-0.3138,0.004,0.0,0.038372,0.024117,0.0
0.45,-0.3117,0.0053,0.0,0.045451,0.028298,0.0
0.5,-0.3092,0.0068,0.0,0.052691,0.032463,0.0
0.55,-0.3063,0.0086,0.0,0.060052,0.036576,0.0
0.6,-0.3031,0.0105,0.0,0.067501,0.040606,0.0
0.65,-0.2995,0.0127,0.0,0.075016,0.04453,0.0
0.7,-0.2955,0.015,0.0,0.082578,0.048328,0.0
0.75,-0.2912,0.0175,0.0,0.090175,0.051985,0.0
0.8,-0.2864,0.0202,0.0,0.097798,0.05549,0.0
0.85,-0.2813,0.0231,0.0,0.105437,0.058833,0.0
0.9,-0.2758,0.0262,0.0,0.113088,0.062007,0.0
0.95,-0.2699,0.0294,0.0,0.120747,0.065006,0.0
1.0,-0.2637,0.0327,0.0,0.12841,0.067825,-0.0
1.05,-0.257,0.0362,0.0,0.136076,0.070461,-0.0
1.1,-0.25,0.0398,0.0,0.143741,0.072911,-0.0
1.15,-0.2426,0.0435,0.0,0.151406,0.075175,-0.0
1.2,-0.2347,0.0473,0.0,0.159068,0.077252,-0.0
1.25,-0.2266,0.0512,0.0,0.166728,0.079141,-0.0
1.3,-0.218,0.0552,0.0,0.174384,0.080843,-0.0
1.35,-0.2091,0.0593,0.0,0.182036,0.082358,-0.0
1.4,-0.1997,0.0635,0.0,0.189685,0.083689,-0.0
1.45,-0.19,0.0677,0.0,0.197329,0.084835,-0.0
1.5,-0.1799,0.072,0.0,0.204968,0.0858,-0.0
1.55,-0.1694,0.0763,0.0,0.212603,0.086585,-0.0
1.6,-0.1586,0.0806,0.0,0.220233,0.087194,-0.0
1.65,-0.1473,0.085,0.0,0.227858,0.087628,-0.0
1.7,-0.1357,0.0894,0.0,0.235478,0.087893,-0.0
1.75,-0.1237,0.0938,0.0,0.243093,0.08799,-0.0
1.8,-0.1113,0.0982,0.0,0.250703,0.087923,-0.0
1.85,-0.0986,0.1026,0.0,0.258273,0.087697,-0.0
1.9,-0.0854,0.1069,0.0,0.265692,0.087315,-0.0
1.95,-0.0719,0.1113,0.0,0.272835,0.086783,-0.0
2.0,-0.0581,0.1156,0.0,0.279608,0.086104,-0.0
2.05,-0.0439,0.1199,0.0,0.285938,0.085283,-0.0
2.1,-0.0294,0.1241,0.0,0.291773,0.084325,-0.0
2.15,-0.0147,0.1283,0.0,0.297073,0.083235,-0.0
2.2,0.0003,0.1324,0.0,0.301808,0.082018,-0.0
2.25,0.0155,0.1365,0.0,0.305961,0.080679,-0.0
2.3,0.0309,0.1405,0.0,0.309518,0.079224,0.0
2.35,0.0465,0.1444,0.0,0.312473,0.077658,0.0
2.4,0.0622,0.1482,0.0,0.314823,0.075985,0.0
2.45,0.078,0.152,0.0,0.316569,0.074213,0.0
2.5,0.0939,0.1556,0.0,0.317716,0.072346,0.0
2.55,0.1098,0.1592,0.0,0.31827,0.070391,0.0
2.6,0.1257,0.1627,0.0,0.31824,0.068352,0.0
2.65,0.1416,0.166,0.0,0.317637,0.066235,0.0
2.7,0.1574,0.1693,0.0,0.316474,0.064047,-0.0
2.75,0.1732,0.1724,0.0,0.314764,0.061792,-0.0
2.8,0.1889,0.1754,0.0,0.312522,0.059476,-0.0
2.85,0.2044,0.1783,0.0,0.309762,0.057106,-0.0
2.9,0.2198,0.1811,0.0,0.306502,0.054687,-0.0
2.95,0.235,0.1838,0.0,0.302759,0.052224,-0.0
3.0,0.25,0.1863,0.0,0.29855,0.049723,-0.0
3.05,0.2648,0.1887,0.0,0.293893,0.047189,-0.0
3.1,0.2794,0.191,0.0,0.288808,0.044628,-0.0
3.15,0.2936,0.1931,0.0,0.283313,0.042046,-0.0
3.2,0.3076,0.1952,0.0,0.277428,0.039447,-0.0
3.25,0.3213,0.1971,0.0,0.271173,0.036837,-0.0
3.3,0.3347,0.1988,0.0,0.264568,0.03422,-0.0
3.35,0.3477,0.2005,0.0,0.257648,0.031602,-0.0
3.4,0.3604,0.202,0.0,0.250476,0.028987,-0.0
3.45,0.3727,0.2033,0.0,0.243117,0.02638,-0.0
3.5,0.3846,0.2046,0.0,0.235619,0.023785,-0.0
3.55,0.3962,0.2057,0.0,0.228018,0.021209,-0.0
3.6,0.4073,0.2067,0.0,0.22034,0.018653,-0.0
3.65,0.4181,0.2075,0.0,0.212605,0.016123,-0.0
3.7,0.4285,0.2083,0.0,0.20483,0.013623,0.0
3.75,0.4385,0.2089,0.0,0.197026,0.011157,0.0
3.8,0.4481,0.2093,0.0,0.1892,0.008728,0.0
3.85,0.4574,0.2097,0.0,0.181361,0.00634,0.0
3.9,0.4662,0.21,0.0,0.173512,0.003996,0.0
3.95,0.4746,0.2101,0.0,0.165657,0.0017,-0.0
4.0,0.4827,0.2101,0.0,0.157799,-0.000545,-0.0
